LSOA21CD,LSOA21NM,nearest_any_core_bus_network_m,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,walking_access_percentile,service_frequency_percentile,route_availability_percentile,ptal_inspired_score
E01011528,Leeds 095D,545.351949123109,3.375,2,14.7843942505133,62.5256673511294,14.5790554414784,30.6297056810404
E01011529,Leeds 096E,131.030299566937,1,1,81.1088295687885,12.5256673511294,5.74948665297741,33.1279945242984
E01011530,Leeds 106A,1217.35930400128,2.08823529411765,9,1.43737166324435,38.3983572895277,85.8316221765914,41.8891170431212
E01011531,Leeds 093D,760.710488237301,3.31944444444444,18,6.57084188911704,60.9856262833676,98.5626283367557,55.3730321697468
E01011532,Leeds 095E,147.75627145374,1.21875,3,78.2340862422998,18.0698151950719,29.2607802874743,41.854893908282
E01011533,Leeds 104A,253.328150776863,3.55,10,51.129363449692,64.6817248459959,89.0143737166325,68.2751540041068
E01011534,Leeds 106B,508.910709890734,0.828125,2,17.6591375770021,8.82956878850103,14.5790554414784,13.6892539356605
E01011535,Leeds 108A,383.247533825631,2.49583333333333,6,29.7741273100616,49.2813141683778,67.7618069815195,48.9390828199863
E01011536,Leeds 108B,382.839181307588,1.8828125,3,29.9794661190965,33.0595482546201,29.2607802874743,30.766598220397
E01011537,Leeds 107A,231.458156356554,2.15384615384615,4,55.2361396303902,40.2464065708419,44.2505133470226,46.5776865160849
E01011538,Leeds 107B,973.336209572086,1.34722222222222,8,3.49075975359343,20.1232032854209,80.9034907597536,34.839151266256
E01011540,Leeds 102B,310.666994833487,4.09659090909091,6,41.2731006160164,74.7433264887064,67.7618069815195,61.2594113620808
E01011541,Leeds 104B,182.88580977651,5.44642857142857,10,67.7618069815195,84.9075975359343,89.0143737166325,80.5612594113621
E01011545,Leeds 104C,205.187991890237,1.27272727272727,3,61.3963039014374,18.6858316221766,29.2607802874743,36.4476386036961
E01011546,Leeds 106C,590.904498137098,1.58854166666667,3,12.5256673511294,25.8726899383984,29.2607802874743,22.5530458590007
E01011547,Leeds 104D,149.659225137975,1.75328947368421,6,76.7967145790555,30.5954825462012,67.7618069815195,58.3846680355921
E01011548,Leeds 106D,857.324116204381,2.41477272727273,7,5.13347022587269,46.3039014373717,75.0513347022587,42.1629021218344
E01011549,Leeds 108C,452.548322612448,2.4375,2,21.9712525667351,47.4332648870637,14.5790554414784,27.9945242984257
E01011550,Leeds 106E,236.337158374244,1.8375,8,54.2094455852156,31.8275154004107,80.9034907597536,55.64681724846
E01011551,Leeds 107C,312.725752648228,0.785714285714286,4,40.8624229979466,7.59753593429158,44.2505133470226,30.9034907597536
E01011552,Leeds 107D,220.415551792713,1.515625,5,58.3162217659138,23.9219712525667,56.6735112936345,46.3039014373717
E01011553,Leeds 108D,530.602926879257,2.375,6,16.8377823408624,44.9691991786448,67.7618069815195,43.1895961670089
