id,opportunity,percentile,cutoff,accessibility
E01011553,jobs,50,60,43250
E01011554,jobs,50,30,300
E01011554,jobs,50,45,300
E01011554,jobs,50,60,300
E01011555,jobs,50,30,2350
E01011555,jobs,50,45,10745
E01011555,jobs,50,60,104320
E01011556,jobs,50,30,225
E01011556,jobs,50,45,6725
E01011556,jobs,50,60,59645
E01011557,jobs,50,30,6375
E01011557,jobs,50,45,57025
E01011557,jobs,50,60,153695
E01011558,jobs,50,30,7400
E01011558,jobs,50,45,69695
E01011558,jobs,50,60,168370
E01011559,jobs,50,30,3050
E01011559,jobs,50,45,14095
E01011559,jobs,50,60,137020
E01011560,jobs,50,30,2125
E01011560,jobs,50,45,5150
E01011560,jobs,50,60,62220
E01011561,jobs,50,30,900
E01011561,jobs,50,45,3400
E01011561,jobs,50,60,14825
E01011562,jobs,50,30,1100
E01011562,jobs,50,45,12775
E01011562,jobs,50,60,74995
E01011563,jobs,50,30,150
E01011563,jobs,50,45,150
E01011563,jobs,50,60,2975
E01011564,jobs,50,30,100
E01011564,jobs,50,45,400
E01011564,jobs,50,60,2975
E01011565,jobs,50,30,2500
E01011565,jobs,50,45,14550
E01011565,jobs,50,60,152370
E01011566,jobs,50,30,75
E01011566,jobs,50,45,6900
E01011566,jobs,50,60,59645
E01011567,jobs,50,30,1375
E01011567,jobs,50,45,4600
E01011567,jobs,50,60,16520
E01011568,jobs,50,30,225
E01011568,jobs,50,45,6900
E01011568,jobs,50,60,59645
E01011569,jobs,50,30,1750
E01011569,jobs,50,45,1750
E01011569,jobs,50,60,4050
E01011570,jobs,50,30,700
E01011570,jobs,50,45,700
E01011570,jobs,50,60,16975
E01011571,jobs,50,30,1300
E01011571,jobs,50,45,2100
E01011571,jobs,50,60,8200
E01011572,jobs,50,30,200
E01011572,jobs,50,45,700
E01011572,jobs,50,60,13600
E01011573,jobs,50,30,650
E01011573,jobs,50,45,2250
E01011573,jobs,50,60,8200
E01011574,jobs,50,30,4950
E01011574,jobs,50,45,10875
E01011574,jobs,50,60,18950
E01011576,jobs,50,30,350
E01011576,jobs,50,45,350
E01011576,jobs,50,60,350
E01011578,jobs,50,30,6550
E01011578,jobs,50,45,26175
E01011578,jobs,50,60,107675
E01011579,jobs,50,30,7375
E01011579,jobs,50,45,26425
E01011579,jobs,50,60,112790
E01011580,jobs,50,30,200
E01011580,jobs,50,45,200
E01011580,jobs,50,60,200
E01011581,jobs,50,30,800
