LSOA21CD,LSOA21NM,dft_business_raw,dft_overall_raw,ptal_inspired_raw,cumulative_30min_raw,cumulative_45min_raw,cumulative_60min_raw,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,dft_overall_percentile,cumulative_30min_percentile,cumulative_60min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01011357,Leeds 038C,73.81,80.15,79.9452429842574,67095,247240,345245,84.394250513347,89.7330595482546,85.4209445585216,83.6755646817249,84.394250513347,80.4928131416838,-5.3388090349076,-1.02669404517454,4.31211498973306,5.3388090349076
E01011358,Leeds 042B,72.84,78.27,52.1902806297057,57020,225490,323545,76.1806981519507,54.2094455852156,82.5462012320329,75.1540041067762,82.3408624229979,76.5913757700205,21.9712525667351,-6.36550308008214,-28.3367556468173,28.3367556468173
E01011359,Leeds 042C,72.37,79.71,39.9726214921287,73945,178565,317695,72.6899383983573,33.0595482546201,77.4127310061602,81.1088295687885,86.2422997946612,75.564681724846,39.6303901437372,-4.72279260780287,-44.35318275154,44.35318275154
E01011360,Leeds 042D,74.71,82.66,81.1772758384668,102425,288120,368385,89.5277207392197,91.7864476386037,95.6878850102669,93.8398357289528,90.1437371663244,89.5277207392197,-2.25872689938397,-6.16016427104722,-3.90143737166325,6.16016427104722
E01011361,Leeds 042E,74.27,82.81,67.2484599589323,105750,248545,355760,86.652977412731,75.7700205338809,86.2422997946612,94.2505133470226,91.3757700205339,83.7782340862423,10.8829568788501,0.410677618069812,-10.4722792607803,10.8829568788501
E01011362,Leeds 081A,74.91,78.36,62.9363449691992,48075,210390,357725,90.5544147843943,70.4312114989733,80.4928131416838,75.3593429158111,79.4661190965093,84.5995893223819,20.1232032854209,10.0616016427105,-10.0616016427105,20.1232032854209
E01011363,Leeds 071E,76.34,79.96,96.9541409993155,136250,304410,411665,96.5092402464066,99.7946611909651,97.1252566735113,82.3408624229979,96.7145790554415,98.1519507186858,-3.28542094455851,-0.616016427104711,2.6694045174538,3.28542094455851
E01011364,Leeds 085A,75.38,81.45,82.7857631759069,165515,313910,404585,93.4291581108829,92.8131416837782,98.3572895277207,88.0903490759754,97.9466119096509,97.5359342915811,0.616016427104711,-4.92813141683779,-5.5441478439425,5.5441478439425
E01011366,Leeds 082A,75.39,78.67,60.7460643394935,12025,197265,330135,93.6344969199179,67.2484599589323,78.6447638603696,75.7700205338809,62.0123203285421,78.0287474332649,26.3860369609856,14.9897330595483,-11.3963039014374,26.3860369609856
E01011368,Leeds 082C,75.62,80.63,70.3969883641342,88065,269690,375715,94.6611909650924,80.082135523614,91.9917864476386,86.0369609856263,88.7063655030801,91.9917864476386,14.5790554414784,2.6694045174538,-11.9096509240246,14.5790554414784
E01011369,Leeds 090E,73.21,75.41,76.5229295003422,97640,275895,385860,79.7741273100616,87.2689938398357,93.0184804928131,59.5482546201232,89.3223819301848,94.2505133470226,-7.49486652977413,-13.2443531827515,-5.74948665297741,13.2443531827515
E01011370,Leeds 082D,74.03,79.92,63.3127994524299,58715,228915,357320,85.6262833675565,70.9445585215606,82.9568788501027,81.9301848049281,82.5462012320329,84.394250513347,14.6817248459959,2.6694045174538,-12.0123203285421,14.6817248459959
E01011371,Leeds 085B,75.85,83.52,74.0246406570842,156215,305135,400760,95.0718685831622,84.394250513347,97.3305954825462,96.5092402464066,97.5359342915811,97.3305954825462,10.6776180698152,-2.25872689938399,-12.9363449691992,12.9363449691992
E01011372,Leeds 086C,74.9,83.39,18.8227241615332,59390,262340,376810,90.3490759753593,7.59753593429158,89.9383983572895,95.482546201232,82.9568788501027,92.6078028747433,82.7515400410678,0.410677618069812,-82.3408624229979,82.7515400410678
